booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status
INNHG_128127,4,Online,1,103.0,1,0,2022-07-01,1,1,Not Canceled
INNHG_128128,147,Online,2,103.7,2,2,2022-07-01,0,2,Not Canceled
INNHG_128129,43,Online,1,126.9,2,1,2022-07-01,1,2,Not Canceled
INNHG_128130,145,Offline,0,72.76,2,0,2022-07-01,0,1,Not Canceled
INNHG_128131,86,Offline,1,107.69,2,1,2022-07-01,0,2,Not Canceled
INNHG_128132,47,Online,1,117.9,2,2,2022-07-01,0,3,Not Canceled
INNHG_128133,25,Offline,0,72.25,2,2,2022-07-01,0,2,Not Canceled
INNHG_128134,148,Offline,0,102.25,2,3,2022-07-01,0,7,Not Canceled
INNHG_128135,95,Online,1,130.5,2,2,2022-07-01,0,3,Not Canceled
INNHG_128136,142,Online,1,128.7,3,0,2022-07-01,0,2,Not Canceled
INNHG_128137,2,Online,1,167.0,2,0,2022-07-01,0,1,Not Canceled
INNHG_128138,73,Offline,1,117.64,3,2,2022-07-01,0,5,Not Canceled
INNHG_128139,142,Online,1,85.5,2,0,2022-07-01,0,2,Not Canceled
INNHG_128140,36,Online,1,107.1,2,0,2022-07-01,0,2,Not Canceled
INNHG_128141,46,Online,1,107.1,2,0,2022-07-01,0,2,Not Canceled
INNHG_128142,142,Online,1,85.5,2,0,2022-07-01,0,2,Not Canceled
INNHG_128143,164,Online,1,90.9,1,0,2022-07-01,0,2,Not Canceled
INNHG_128144,0,Online,0,159.0,2,0,2022-07-01,0,1,Not Canceled
INNHG_128145,118,Online,1,107.95,2,2,2022-07-01,0,5,Not Canceled
INNHG_128146,141,Online,1,96.3,2,0,2022-07-01,0,2,Not Canceled
INNHG_128147,49,Online,3,117.9,2,1,2022-07-01,0,2,Not Canceled
INNHG_128148,23,Online,2,187.0,3,0,2022-07-01,0,2,Not Canceled
INNHG_128149,16,Online,3,187.0,3,0,2022-07-01,0,2,Not Canceled
INNHG_128150,76,Offline,0,82.45,2,2,2022-07-01,0,5,Not Canceled
INNHG_128151,38,Online,0,107.1,2,2,2022-07-01,0,3,Not Canceled
INNHG_128152,156,Online,1,80.75,2,2,2022-07-01,0,2,Not Canceled
INNHG_128153,184,Online,1,90.95,2,2,2022-07-01,0,2,Not Canceled
INNHG_128154,33,Online,2,152.1,2,0,2022-07-01,0,1,Not Canceled
INNHG_128155,19,Online,1,151.0,2,1,2022-07-01,0,2,Not Canceled
INNHG_128156,53,Online,1,188.81,3,1,2022-07-01,0,2,Not Canceled
INNHG_128157,147,Online,2,103.7,2,2,2022-07-01,0,2,Not Canceled
INNHG_128158,47,Online,1,117.9,2,2,2022-07-01,0,3,Not Canceled
INNHG_128159,132,Offline,0,72.25,2,1,2022-07-01,0,2,Not Canceled
INNHG_128160,82,Online,1,114.3,2,2,2022-07-01,0,4,Not Canceled
INNHG_128161,5,Online,0,144.0,2,0,2022-07-01,0,1,Not Canceled
INNHG_128162,83,Online,1,108.9,2,2,2022-07-01,0,3,Not Canceled
INNHG_128163,82,Online,2,146.7,3,2,2022-07-01,0,4,Not Canceled
INNHG_128164,132,Offline,0,72.25,2,1,2022-07-01,0,2,Not Canceled
INNHG_128165,128,Online,2,163.2,2,2,2022-07-01,0,4,Not Canceled
INNHG_128166,153,Online,1,93.2,2,2,2022-07-01,1,2,Not Canceled
INNHG_128167,39,Online,1,107.1,2,0,2022-07-01,0,1,Not Canceled
INNHG_128168,51,Online,1,117.9,2,0,2022-07-01,0,2,Not Canceled
INNHG_128169,53,Online,1,78.35,2,0,2022-07-01,0,2,Not Canceled
INNHG_128170,148,Online,3,113.69,2,2,2022-07-01,0,6,Not Canceled
INNHG_128171,49,Online,4,150.3,3,1,2022-07-01,0,2,Not Canceled
INNHG_128172,141,Online,1,96.3,2,0,2022-07-01,0,2,Not Canceled
INNHG_128173,118,Online,1,107.95,2,2,2022-07-01,0,5,Not Canceled
INNHG_128174,87,Online,2,114.3,2,0,2022-07-01,0,2,Not Canceled
INNHG_128175,59,Offline,0,85.0,2,1,2022-07-01,0,2,Not Canceled
INNHG_128176,39,Online,0,107.1,2,0,2022-07-01,0,2,Not Canceled
INNHG_128177,56,Online,1,107.1,2,1,2022-07-01,0,2,Not Canceled
INNHG_128178,25,Offline,0,72.25,2,2,2022-07-01,0,2,Not Canceled
INNHG_128179,53,Online,1,78.35,2,0,2022-07-01,0,2,Not Canceled
INNHG_128180,16,Online,2,166.0,2,0,2022-07-01,0,2,Not Canceled
INNHG_128181,142,Online,1,85.5,2,0,2022-07-01,0,2,Not Canceled
INNHG_128182,132,Offline,0,72.25,2,1,2022-07-01,0,2,Not Canceled
INNHG_128183,164,Online,1,96.3,2,0,2022-07-01,0,2,Not Canceled
INNHG_128184,86,Offline,0,86.36,2,1,2022-07-01,0,2,Not Canceled
INNHG_128185,132,Offline,0,72.25,2,1,2022-07-01,0,2,Not Canceled
INNHG_128186,198,Online,1,90.95,2,2,2022-07-01,0,5,Not Canceled
INNHG_128187,5,Online,0,165.0,3,0,2022-07-01,0,1,Not Canceled
