booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,rebooked
INNHG_101034,0,Online,0,85.03,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101035,34,Online,2,125.1,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101036,24,Online,1,71.69,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101037,23,Online,0,84.7,1,2,2021-01-01,0,0,Not Canceled,
INNHG_101038,46,Online,1,149.4,2,2,2021-01-01,0,3,Canceled,No
INNHG_101039,10,Online,2,164.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101040,25,Online,0,88.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101041,21,Online,2,98.0,2,2,2021-01-01,1,0,Not Canceled,
INNHG_101042,1,Offline,1,105.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101043,120,Online,1,129.81,3,2,2021-01-01,0,5,Not Canceled,
INNHG_101044,0,Online,1,155.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101045,48,Offline,0,85.5,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101046,62,Online,0,135.9,2,2,2021-01-01,0,1,Canceled,No
INNHG_101047,4,Online,0,110.0,1,2,2021-01-01,0,1,Not Canceled,
INNHG_101048,20,Offline,0,85.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101049,36,Online,0,110.0,1,2,2021-01-01,0,3,Not Canceled,
INNHG_101050,52,Online,0,130.0,2,2,2021-01-01,0,0,Canceled,No
INNHG_101051,208,Online,0,116.1,2,2,2021-01-01,0,1,Canceled,No
INNHG_101052,19,Offline,0,107.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101053,13,Online,1,99.0,1,2,2021-01-01,0,0,Not Canceled,
INNHG_101054,23,Online,2,100.1,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101055,55,Online,0,106.24,2,2,2021-01-01,0,3,Not Canceled,
INNHG_101056,3,Online,1,179.71,1,2,2021-01-01,0,5,Canceled,No
INNHG_101057,30,Online,1,149.4,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101058,94,Online,2,135.9,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101059,27,Online,2,110.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101060,196,Online,0,116.1,2,2,2021-01-01,0,0,Canceled,No
INNHG_101061,41,Offline,0,85.5,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101062,12,Offline,1,85.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101063,70,Online,3,168.3,1,2,2021-01-01,0,4,Not Canceled,
INNHG_101064,14,Online,2,89.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101065,20,Online,2,89.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101066,129,Offline,0,80.75,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101067,51,Online,2,207.9,2,2,2021-01-01,0,2,Not Canceled,
INNHG_101068,53,Online,0,149.4,2,2,2021-01-01,0,2,Canceled,Yes
INNHG_101069,78,Online,1,160.08,3,2,2021-01-01,0,0,Not Canceled,
