customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,0,No,Yes,23,No,No,Month-to-month,Bank transfer,49.85,1146.55,No
CUST0001,0,Yes,No,43,No,DSL,Month-to-month,Mailed check,100.70,4330.10,Yes
CUST0002,1,No,No,51,Yes,DSL,One year,Electronic check,97.33,4963.83,Yes
CUST0003,1,No,No,72,Yes,DSL,Month-to-month,Credit card,101.38,7299.36,No
CUST0004,1,No,No,25,Yes,DSL,Month-to-month,Electronic check,52.22,1305.50,Yes
CUST0005,0,Yes,No,35,Yes,DSL,One year,Credit card,116.96,4093.60,No
CUST0006,0,Yes,No,17,No,DSL,One year,Bank transfer,91.53,1556.01,Yes
CUST0007,0,Yes,Yes,18,Yes,DSL,One year,Mailed check,26.52,477.36,Yes
CUST0008,0,No,No,27,No,DSL,One year,Mailed check,67.77,1829.79,Yes
CUST0009,0,No,No,15,No,No,One year,Electronic check,86.45,1296.75,Yes
CUST0010,1,Yes,No,69,Yes,Fiber optic,Month-to-month,Electronic check,36.87,2544.03,Yes
CUST0011,0,Yes,No,15,Yes,DSL,Two year,Bank transfer,110.18,1652.70,No
CUST0012,0,No,Yes,42,Yes,No,One year,Mailed check,95.41,4007.22,No
CUST0013,0,No,No,34,Yes,DSL,Two year,Credit card,28.14,956.76,No
CUST0014,0,Yes,Yes,48,Yes,DSL,Month-to-month,Bank transfer,111.32,5343.36,Yes
CUST0015,0,No,Yes,8,No,Fiber optic,One year,Bank transfer,60.44,483.52,Yes
CUST0016,1,No,No,10,Yes,No,Two year,Bank transfer,65.25,652.50,No
CUST0017,0,No,No,5,No,DSL,Two year,Mailed check,98.31,491.55,No
CUST0018,0,No,Yes,48,Yes,Fiber optic,Two year,Electronic check,84.40,4051.20,Yes
CUST0019,0,No,Yes,26,No,Fiber optic,Two year,Mailed check,63.75,1657.50,Yes
CUST0020,1,No,No,23,No,DSL,Two year,Credit card,45.96,1057.08,No
CUST0021,1,No,Yes,62,No,DSL,One year,Mailed check,71.69,4444.78,No
CUST0022,1,Yes,No,13,Yes,No,One year,Credit card,77.92,1012.96,Yes
CUST0023,0,Yes,No,9,Yes,No,One year,Credit card,83.09,747.81,Yes
CUST0024,1,No,Yes,20,Yes,DSL,Two year,Credit card,80.51,1610.20,Yes
CUST0025,0,No,No,57,No,DSL,Two year,Mailed check,81.73,4658.61,Yes
CUST0026,0,No,No,24,No,Fiber optic,Month-to-month,Credit card,67.57,1621.68,No
